Month,In/Out,Australia,Latitude,Longitude,International,Latitude,Longitude,AllFlights
20-Mar,I,Melbourne,-37.8136,144.9631,Manila,14.5823,120.9748,6
20-Mar,I,Melbourne,-37.8136,144.9631,Manila,14.5823,120.9748,14
20-Mar,I,Melbourne,-37.8136,144.9631,Nadi,-17.4800,177.4167,15
20-Mar,I,Melbourne,-37.8136,144.9631,Nadi,-17.4800,177.4167,6
20-Mar,I,Melbourne,-37.8136,144.9631,New Delhi,28.6139,77.2089,9
20-Mar,I,Melbourne,-37.8136,144.9631,Nouméa,-22.2758,166.4580,5
20-Mar,I,Melbourne,-37.8136,144.9631,Phuket,7.8900,98.3982,9
20-Mar,I,Melbourne,-37.8136,144.9631,Port Vila,-17.7365,168.3147,7
20-Mar,I,Melbourne,-37.8136,144.9631,Queenstown,-45.0327,168.6580,13
20-Mar,I,Melbourne,-37.8136,144.9631,Queenstown,-45.0327,168.6580,22
20-Mar,I,Melbourne,-37.8136,144.9631,Queenstown,-45.0327,168.6580,13
20-Mar,I,Melbourne,-37.8136,144.9631,Santiago,-33.4500,-70.6667,11
20-Mar,I,Melbourne,-37.8136,144.9631,Vancouver,49.2636,-123.1386,14
20-Mar,I,Melbourne,-37.8136,144.9631,Wellington,-41.2851,174.7760,15
20-Mar,I,Melbourne,-37.8136,144.9631,Wellington,-41.2851,174.7760,25
20-Mar,I,Melbourne,-37.8136,144.9631,Wellington,-41.2851,174.7760,15
20-Mar,I,Melbourne,-37.8136,144.9631,Xiamen,24.4795,118.0895,5
20-Mar,I,Perth,-31.9529,115.8573,Auckland,-36.8473,174.7628,32
20-Mar,I,Perth,-31.9529,115.8573,Denpasar,-8.6722,115.2336,14
20-Mar,I,Perth,-31.9529,115.8573,Denpasar,-8.6722,115.2336,12
20-Mar,I,Perth,-31.9529,115.8573,Denpasar,-8.6722,115.2336,27
20-Mar,I,Perth,-31.9529,115.8573,Denpasar,-8.6722,115.2336,60
20-Mar,I,Perth,-31.9529,115.8573,Denpasar,-8.6722,115.2336,38
20-Mar,I,Perth,-31.9529,115.8573,Denpasar,-8.6722,115.2336,22
20-Mar,I,Perth,-31.9529,115.8573,Johannesburg,-26.2015,28.0455,19
20-Mar,I,Perth,-31.9529,115.8573,Kota Kinabalu,5.9714,116.0953,2
20-Mar,I,Perth,-31.9529,115.8573,London,51.5002,-0.1262,3
20-Mar,I,Perth,-31.9529,115.8573,London,51.5002,-0.1262,25
20-Mar,I,Port Hedland,-20.31,118.6011,Denpasar,-8.6722,115.2336,2
20-Mar,I,Sydney,-33.8728,151.2053,Abu Dhabi,24.4882,54.3549,49
20-Mar,I,Sydney,-33.8728,151.2053,Apia,-13.8333,-171.7500,4
20-Mar,I,Sydney,-33.8728,151.2053,Apia,-13.8333,-171.7500,3
20-Mar,I,Sydney,-33.8728,151.2053,Auckland,-36.8473,174.7628,111
20-Mar,I,Sydney,-33.8728,151.2053,Auckland,-36.8473,174.7628,23
20-Mar,I,Sydney,-33.8728,151.2053,Auckland,-36.8473,174.7628,16
20-Mar,I,Sydney,-33.8728,151.2053,Auckland,-36.8473,174.7628,115
20-Mar,I,Sydney,-33.8728,151.2053,Auckland,-36.8473,174.7628,58
20-Mar,I,Sydney,-33.8728,151.2053,Christchurch,-43.5308,172.6380,31
20-Mar,I,Sydney,-33.8728,151.2053,Christchurch,-43.5308,172.6380,24
20-Mar,I,Sydney,-33.8728,151.2053,Christchurch,-43.5308,172.6380,26
20-Mar,I,Sydney,-33.8728,151.2053,Christchurch,-43.5308,172.6380,9
20-Mar,I,Sydney,-33.8728,151.2053,Dallas,32.7758,-96.7967,21
20-Mar,I,Sydney,-33.8728,151.2053,Denpasar,-8.6722,115.2336,18
20-Mar,I,Sydney,-33.8728,151.2053,Denpasar,-8.6722,115.2336,20
20-Mar,I,Sydney,-33.8728,151.2053,Denpasar,-8.6722,115.2336,3
20-Mar,I,Sydney,-33.8728,151.2053,Denpasar,-8.6722,115.2336,15
20-Mar,I,Sydney,-33.8728,151.2053,Denpasar,-8.6722,115.2336,24
20-Mar,I,Sydney,-33.8728,151.2053,Denpasar,-8.6722,115.2336,35
20-Mar,I,Sydney,-33.8728,151.2053,Guangzhou,23.1291,113.2644,28
20-Mar,I,Sydney,-33.8728,151.2053,Honolulu,21.3099,-157.8582,16
20-Mar,I,Sydney,-33.8728,151.2053,Honolulu,21.3099,-157.8582,25
20-Mar,I,Sydney,-33.8728,151.2053,Houston,29.7628,-95.3831,19
20-Mar,I,Sydney,-33.8728,151.2053,Johannesburg,-26.2015,28.0455,23
20-Mar,I,Sydney,-33.8728,151.2053,London,51.5002,-0.1262,31
20-Mar,I,Sydney,-33.8728,151.2053,London,51.5002,-0.1262,5
20-Mar,I,Sydney,-33.8728,151.2053,London,51.5002,-0.1262,20
20-Mar,I,Sydney,-33.8728,151.2053,Los Angeles,34.0522,-118.2433,18
20-Mar,I,Sydney,-33.8728,151.2053,Los Angeles,34.0522,-118.2433,19
20-Mar,I,Sydney,-33.8728,151.2053,Los Angeles,34.0522,-118.2433,7
20-Mar,I,Sydney,-33.8728,151.2053,Los Angeles,34.0522,-118.2433,18
20-Mar,I,Sydney,-33.8728,151.2053,Los Angeles,34.0522,-118.2433,17
20-Mar,I,Sydney,-33.8728,151.2053,Los Angeles,34.0522,-118.2433,26
20-Mar,I,Sydney,-33.8728,151.2053,Manila,14.5823,120.9748,9
20-Mar,I,Sydney,-33.8728,151.2053,Manila,14.5823,120.9748,16
20-Mar,I,Sydney,-33.8728,151.2053,Manila,14.5823,120.9748,19
20-Mar,I,Sydney,-33.8728,151.2053,Nadi,-17.4800,177.4167,37
20-Mar,I,Sydney,-33.8728,151.2053,Nadi,-17.4800,177.4167,10
20-Mar,I,Sydney,-33.8728,151.2053,Nadi,-17.4800,177.4167,13
20-Mar,I,Sydney,-33.8728,151.2053,Nadi,-17.4800,177.4167,19
20-Mar,I,Sydney,-33.8728,151.2053,New Delhi,28.6139,77.2089,16
20-Mar,I,Sydney,-33.8728,151.2053,New York,40.7130,-74.0072,18
20-Mar,I,Sydney,-33.8728,151.2053,Nouméa,-22.2758,166.4580,13
20-Mar,I,Sydney,-33.8728,151.2053,Nouméa,-22.2758,166.4580,11
20-Mar,I,Sydney,-33.8728,151.2053,Osaka,34.6939,135.5022,11
20-Mar,I,Sydney,-33.8728,151.2053,Phuket,7.8900,98.3982,10
20-Mar,I,Sydney,-33.8728,151.2053,Port Moresby,-9.4671,147.1960,2
20-Mar,I,Sydney,-33.8728,151.2053,Port Moresby,-9.4671,147.1960,4
20-Mar,I,Sydney,-33.8728,151.2053,Port Vila,-17.7365,168.3147,15
20-Mar,I,Sydney,-33.8728,151.2053,Queenstown,-45.0327,168.6580,9
20-Mar,I,Sydney,-33.8728,151.2053,Queenstown,-45.0327,168.6580,22
20-Mar,I,Sydney,-33.8728,151.2053,Queenstown,-45.0327,168.6580,35
20-Mar,I,Sydney,-33.8728,151.2053,Queenstown,-45.0327,168.6580,20
20-Mar,I,Sydney,-33.8728,151.2053,Rarotonga,-21.2333,-159.7833,3
20-Mar,I,Sydney,-33.8728,151.2053,Santiago,-33.4500,-70.6667,16
20-Mar,I,Sydney,-33.8728,151.2053,Santiago,-33.4500,-70.6667,10
20-Mar,I,Sydney,-33.8728,151.2053,Santiago,-33.4500,-70.6667,16
20-Mar,I,Sydney,-33.8728,151.2053,Sapporo,43.0343,141.3588,7
20-Mar,I,Sydney,-33.8728,151.2053,Suva,-18.1434,178.4372,3
20-Mar,I,Sydney,-33.8728,151.2053,Vancouver,49.2636,-123.1386,29
20-Mar,I,Sydney,-33.8728,151.2053,Wellington,-41.2851,174.7760,29
20-Mar,I,Sydney,-33.8728,151.2053,Wellington,-41.2851,174.7760,48
20-Mar,I,Sydney,-33.8728,151.2053,Wellington,-41.2851,174.7760,16
20-Mar,I,Sydney,-33.8728,151.2053,Xiamen,24.4795,118.0895,11
20-Mar,O,Adelaide,-34.9273,138.5995,Auckland,-36.8473,174.7628,16
20-Mar,O,Adelaide,-34.9273,138.5995,Denpasar,-8.6722,115.2336,26
20-Mar,O,Adelaide,-34.9273,138.5995,Denpasar,-8.6722,115.2336,10
20-Mar,O,Brisbane,-27.47,153.023,Abu Dhabi,24.4882,54.3549,20
20-Mar,O,Brisbane,-27.47,153.023,Apia,-13.8333,-171.7500,3
20-Mar,O,Brisbane,-27.47,153.023,Apia,-13.8333,-171.7500,2
20-Mar,O,Brisbane,-27.47,153.023,Auckland,-36.8473,174.7628,63
20-Mar,O,Brisbane,-27.47,153.023,Auckland,-36.8473,174.7628,17
20-Mar,O,Brisbane,-27.47,153.023,Auckland,-36.8473,174.7628,39
20-Mar,O,Brisbane,-27.47,153.023,Auckland,-36.8473,174.7628,48
20-Mar,O,Brisbane,-27.47,153.023,Bandar Seri Begawan,4.8807,114.9223,13
20-Mar,O,Brisbane,-27.47,153.023,Christchurch,-43.5308,172.6380,18
20-Mar,O,Brisbane,-27.47,153.023,Christchurch,-43.5308,172.6380,18
20-Mar,O,Brisbane,-27.47,153.023,Christchurch,-43.5308,172.6380,25
20-Mar,O,Brisbane,-27.47,153.023,Denpasar,-8.6722,115.2336,24
20-Mar,O,Brisbane,-27.47,153.023,Denpasar,-8.6722,115.2336,10
20-Mar,O,Brisbane,-27.47,153.023,Denpasar,-8.6722,115.2336,30
20-Mar,O,Brisbane,-27.47,153.023,Dunedin,-45.8667,170.5000,10
20-Mar,O,Brisbane,-27.47,153.023,Honolulu,21.3099,-157.8582,10
20-Mar,O,Brisbane,-27.47,153.023,Los Angeles,34.0522,-118.2433,33
20-Mar,O,Brisbane,-27.47,153.023,Los Angeles,34.0522,-118.2433,20
20-Mar,O,Brisbane,-27.47,153.023,Manila,14.5823,120.9748,15
20-Mar,O,Brisbane,-27.47,153.023,Munda,-8.3281,157.2708,3
20-Mar,O,Brisbane,-27.47,153.023,Nadi,-17.4800,177.4167,17
20-Mar,O,Brisbane,-27.47,153.023,Nadi,-17.4800,177.4167,24
20-Mar,O,Brisbane,-27.47,153.023,Nouméa,-22.2758,166.4580,5
20-Mar,O,Brisbane,-27.47,153.023,Port Moresby,-9.4671,147.1960,28
20-Mar,O,Brisbane,-27.47,153.023,Port Moresby,-9.4671,147.1960,2
20-Mar,O,Brisbane,-27.47,153.023,Port Moresby,-9.4671,147.1960,25
20-Mar,O,Brisbane,-27.47,153.023,Port Moresby,-9.4671,147.1960,15
20-Mar,O,Brisbane,-27.47,153.023,Port Vila,-17.7365,168.3147,8
20-Mar,O,Brisbane,-27.47,153.023,Port Vila,-17.7365,168.3147,8
20-Mar,O,Brisbane,-27.47,153.023,Queenstown,-45.0327,168.6580,8
20-Mar,O,Brisbane,-27.47,153.023,Queenstown,-45.0327,168.6580,10
20-Mar,O,Brisbane,-27.47,153.023,Vancouver,49.2636,-123.1386,27
20-Mar,O,Brisbane,-27.47,153.023,Wellington,-41.2851,174.7760,13
20-Mar,O,Brisbane,-27.47,153.023,Wellington,-41.2851,174.7760,29
20-Mar,O,Cairns,-16.9256,145.7753,Denpasar,-8.6722,115.2336,11
20-Mar,O,Cairns,-16.9256,145.7753,Osaka,34.6939,135.5022,20
20-Mar,O,Cairns,-16.9256,145.7753,Port Moresby,-9.4671,147.1960,35
20-Mar,O,Cairns,-16.9256,145.7753,Port Moresby,-9.4671,147.1960,16
20-Mar,O,Darwin,-12.45,130.8333,Denpasar,-8.6722,115.2336,15
20-Mar,O,Darwin,-12.45,130.8333,London,51.5002,-0.1262,3
20-Mar,O,Gold Coast,-28.0015,153.4285,Auckland,-36.8473,174.7628,16
20-Mar,O,Gold Coast,-28.0015,153.4285,Auckland,-36.8473,174.7628,22
20-Mar,O,Gold Coast,-28.0015,153.4285,Auckland,-36.8473,174.7628,21
20-Mar,O,Gold Coast,-28.0015,153.4285,Christchurch,-43.5308,172.6380,5
20-Mar,O,Gold Coast,-28.0015,153.4285,Christchurch,-43.5308,172.6380,10
20-Mar,O,Gold Coast,-28.0015,153.4285,Queenstown,-45.0327,168.6580,9
20-Mar,O,Gold Coast,-28.0015,153.4285,Wellington,-41.2851,174.7760,10
20-Mar,O,Melbourne,-37.8136,144.9631,Abu Dhabi,24.4882,54.3549,42
20-Mar,O,Melbourne,-37.8136,144.9631,Auckland,-36.8473,174.7628,80
20-Mar,O,Melbourne,-37.8136,144.9631,Auckland,-36.8473,174.7628,20
20-Mar,O,Melbourne,-37.8136,144.9631,Auckland,-36.8473,174.7628,91
20-Mar,O,Melbourne,-37.8136,144.9631,Auckland,-36.8473,174.7628,40
20-Mar,O,Melbourne,-37.8136,144.9631,Bandar Seri Begawan,4.8807,114.9223,26
20-Mar,O,Melbourne,-37.8136,144.9631,Christchurch,-43.5308,172.6380,23
20-Mar,O,Melbourne,-37.8136,144.9631,Christchurch,-43.5308,172.6380,19
