Month,In/Out,Australia,"	Latitude",Longitude ,International,AllFlights
Mar-20,O,Sydney,,,Tokyo,  31
Mar-20,O,Sydney,,,Tokyo,  1
Mar-20,O,Sydney,,,Tokyo,  1
Mar-20,O,Sydney,,,Tokyo,  25
Mar-20,O,Sydney,,,Tongatapu,  6
Mar-20,O,Sydney,,,Vancouver,  29
Mar-20,O,Sydney,,,Wellington,  29
Mar-20,O,Sydney,,,Wellington,  47
Mar-20,O,Sydney,,,Wellington,  16
Mar-20,O,Sydney,,,Xiamen,  12
Apr-20,I,Brisbane,,,Auckland,  9
Apr-20,I,Brisbane,,,Auckland,  5
Apr-20,I,Brisbane,,,Doha,  14
Apr-20,I,Brisbane,,,Hong Kong,  6
Apr-20,I,Brisbane,,,Hong Kong,  4
Apr-20,I,Brisbane,,,Honiara,  2
Apr-20,I,Brisbane,,,Lima,  1
Apr-20,I,Brisbane,,,Los Angeles,  2
Apr-20,I,Brisbane,,,Los Angeles,  3
Apr-20,I,Brisbane,,,Manila,  2
Apr-20,I,Brisbane,,,Nadi,  1
Apr-20,I,Brisbane,,,Nauru,  2
Apr-20,I,Brisbane,,,Port Moresby,  15
Apr-20,I,Brisbane,,,Taipei,  9
Apr-20,I,Cairns,,,Port Moresby,  9
Apr-20,I,Melbourne,,,Abu Dhabi,  15
Apr-20,I,Melbourne,,,Auckland,  8
Apr-20,I,Melbourne,,,Auckland,  6
Apr-20,I,Melbourne,,,Bandar Seri Begawan,  5
Apr-20,I,Melbourne,,,Buenos Aires,  1
Apr-20,I,Melbourne,,,Colombo,  3
Apr-20,I,Melbourne,,,Doha,  38
Apr-20,I,Melbourne,,,Ho Chi Minh City,  1
Apr-20,I,Melbourne,,,Hong Kong,  5
Apr-20,I,Melbourne,,,Jakarta,  6
Apr-20,I,Melbourne,,,Johannesburg,  1
Apr-20,I,Melbourne,,,Kuala Lumpur,  4
Apr-20,I,Melbourne,,,London,  3
Apr-20,I,Melbourne,,,Manila,  2
Apr-20,I,Melbourne,,,San Francisco,  1
Apr-20,I,Melbourne,,,Santiago,  1
Apr-20,I,Melbourne,,,Taipei,  3
Apr-20,I,Perth,,,Denpasar,  4
Apr-20,I,Perth,,,Denpasar,  6
Apr-20,I,Perth,,,Doha,  30
Apr-20,I,Perth,,,Kuala Lumpur,  3
Apr-20,I,Perth,,,London,  3
Apr-20,I,Perth,,,Singapore,  12
Apr-20,I,Sydney,,,Auckland,  16
Apr-20,I,Sydney,,,Bangkok,  1
Apr-20,I,Sydney,,,Doha,  43
Apr-20,I,Sydney,,,Guangzhou,  4
Apr-20,I,Sydney,,,Hanoi,  1
Apr-20,I,Sydney,,,Hong Kong,  10
Apr-20,I,Sydney,,,Jakarta,  8
Apr-20,I,Sydney,,,Kuala Lumpur,  2
Apr-20,I,Sydney,,,London,  7
Apr-20,I,Sydney,,,Manila,  2
Apr-20,I,Sydney,,,Nadi,  1
Apr-20,I,Sydney,,,Noumea,  7
Apr-20,I,Sydney,,,San Francisco,  30
Apr-20,I,Sydney,,,Santiago,  1
Apr-20,I,Sydney,,,Santiago,  3
Apr-20,I,Sydney,,,Shanghai,  4
Apr-20,I,Sydney,,,Singapore,  7
Apr-20,I,Sydney,,,Singapore,  12
Apr-20,I,Sydney,,,Taipei,  21
Apr-20,I,Sydney,,,Tokyo,  19
Apr-20,I,Sydney,,,Vancouver,  4
Apr-20,I,Sydney,,,Xiamen,  5
Apr-20,O,Brisbane,,,Auckland,  9
Apr-20,O,Brisbane,,,Auckland,  5
Apr-20,O,Brisbane,,,Doha,  14
Apr-20,O,Brisbane,,,Hong Kong,  5
Apr-20,O,Brisbane,,,Hong Kong,  6
Apr-20,O,Brisbane,,,Los Angeles,  3
Apr-20,O,Brisbane,,,Los Angeles,  4
Apr-20,O,Brisbane,,,Manila,  1
Apr-20,O,Brisbane,,,Nadi,  1
Apr-20,O,Brisbane,,,Nauru,  1
Apr-20,O,Brisbane,,,Port Moresby,  6
Apr-20,O,Brisbane,,,Taipei,  9
Apr-20,O,Cairns,,,Port Moresby,  3
Apr-20,O,Melbourne,,,Abu Dhabi,  15
Apr-20,O,Melbourne,,,Auckland,  8
Apr-20,O,Melbourne,,,Auckland,  6
Apr-20,O,Melbourne,,,Bandar Seri Begawan,  8
Apr-20,O,Melbourne,,,Buenos Aires,  1
Apr-20,O,Melbourne,,,Doha,  39
Apr-20,O,Melbourne,,,Hong Kong,  5
Apr-20,O,Melbourne,,,Jakarta,  6
Apr-20,O,Melbourne,,,Johannesburg,  1
Apr-20,O,Melbourne,,,Kuala Lumpur,  4
Apr-20,O,Melbourne,,,London,  3
Apr-20,O,Melbourne,,,Manila,  2
Apr-20,O,Melbourne,,,Nadi,  1
Apr-20,O,Melbourne,,,Santiago,  1
Apr-20,O,Melbourne,,,Taipei,  2
Apr-20,O,Perth,,,Denpasar,  4
Apr-20,O,Perth,,,Denpasar,  6
Apr-20,O,Perth,,,Doha,  30
Apr-20,O,Perth,,,Kuala Lumpur,  3
Apr-20,O,Perth,,,London,  3
Apr-20,O,Perth,,,Singapore,  12
Apr-20,O,Sydney,,,Auckland,  15
Apr-20,O,Sydney,,,Bangkok,  1
Apr-20,O,Sydney,,,Buenos Aires,  1
Apr-20,O,Sydney,,,Doha,  44
Apr-20,O,Sydney,,,Guangzhou,  4
Apr-20,O,Sydney,,,Hong Kong,  9
Apr-20,O,Sydney,,,Jakarta,  8
Apr-20,O,Sydney,,,Kuala Lumpur,  2
Apr-20,O,Sydney,,,Lima,  1
Apr-20,O,Sydney,,,London,  9
Apr-20,O,Sydney,,,Manila,  1
Apr-20,O,Sydney,,,Manila,  2
Apr-20,O,Sydney,,,Nadi,  1
Apr-20,O,Sydney,,,Noumea,  6
Apr-20,O,Sydney,,,San Francisco,  30
Apr-20,O,Sydney,,,Santiago,  1
Apr-20,O,Sydney,,,Santiago,  4
Apr-20,O,Sydney,,,Seoul,  8
Apr-20,O,Sydney,,,Seoul,  7
Apr-20,O,Sydney,,,Shanghai,  5
Apr-20,O,Sydney,,,Singapore,  9
Apr-20,O,Sydney,,,Singapore,  12
Apr-20,O,Sydney,,,Taipei,  21
Apr-20,O,Sydney,,,Tokyo,  20
Apr-20,O,Sydney,,,Vancouver,  6
Apr-20,O,Sydney,,,Xiamen,  4
May-20,I,Brisbane,,,Auckland,  9
May-20,I,Brisbane,,,Auckland,  4
May-20,I,Brisbane,,,Doha,  5
May-20,I,Brisbane,,,Hong Kong,  10
May-20,I,Brisbane,,,Honiara,  1
May-20,I,Brisbane,,,Los Angeles,  1
May-20,I,Brisbane,,,Los Angeles,  3
May-20,I,Brisbane,,,Nauru,  3
May-20,I,Brisbane,,,Port Moresby,  22
May-20,I,Brisbane,,,Taipei,  2
May-20,I,Cairns,,,Port Moresby,  8
May-20,I,Melbourne,,,Abu Dhabi,  8
May-20,I,Melbourne,,,Auckland,  9
May-20,I,Melbourne,,,Auckland,  2
May-20,I,Melbourne,,,Bandar Seri Begawan,  3
May-20,I,Melbourne,,,Bangkok,  1
May-20,I,Melbourne,,,Colombo,  6
May-20,I,Melbourne,,,Doha,  30
May-20,I,Melbourne,,,Dubai,  5
May-20,I,Melbourne,,,Hong Kong,  8
May-20,I,Melbourne,,,Jakarta,  6
May-20,I,Melbourne,,,Kuala Lumpur,  2
May-20,I,Melbourne,,,London,  7
May-20,I,Melbourne,,,Los Angeles,  3
May-20,I,Melbourne,,,Manila,  1
May-20,I,Melbourne,,,New Delhi,  4
May-20,I,Melbourne,,,Taipei,  2
May-20,I,Perth,,,Denpasar,  5
May-20,I,Perth,,,Denpasar,  2
May-20,I,Perth,,,Doha,  16
May-20,I,Perth,,,Kuala Lumpur,  1
May-20,I,Perth,,,London,  7
May-20,I,Perth,,,Singapore,  14
May-20,I,Sydney,,,Abu Dhabi,  1
May-20,I,Sydney,,,Auckland,  14
May-20,I,Sydney,,,Bangkok,  1
May-20,I,Sydney,,,Doha,  31
May-20,I,Sydney,,,Dubai,  4
May-20,I,Sydney,,,Guangzhou,  5
May-20,I,Sydney,,,Ho Chi Minh City,  10
May-20,I,Sydney,,,Hong Kong,  10
May-20,I,Sydney,,,Jakarta,  4
May-20,I,Sydney,,,Kuala Lumpur,  1
May-20,I,Sydney,,,Manila,  1
May-20,I,Sydney,,,Nadi,  6
May-20,I,Sydney,,,New Delhi,  3
May-20,I,Sydney,,,Noumea,  1
May-20,I,Sydney,,,San Francisco,  31
May-20,I,Sydney,,,Santiago,  1
May-20,I,Sydney,,,Seoul,  4
May-20,I,Sydney,,,Shanghai,  4
May-20,I,Sydney,,,Singapore,  30
May-20,I,Sydney,,,Taipei,  3
May-20,I,Sydney,,,Tokyo,  13
May-20,I,Sydney,,,Xiamen,  5
May-20,O,Brisbane,,,Auckland,  9
May-20,O,Brisbane,,,Auckland,  4
May-20,O,Brisbane,,,Doha,  5
May-20,O,Brisbane,,,Hong Kong,  5
May-20,O,Brisbane,,,Hong Kong,  4
May-20,O,Brisbane,,,Hong Kong,  1
May-20,O,Brisbane,,,Honiara,  1
May-20,O,Brisbane,,,Los Angeles,  3
May-20,O,Brisbane,,,Nauru,  3
May-20,O,Brisbane,,,Port Moresby,  22
May-20,O,Brisbane,,,Taipei,  2
May-20,O,Cairns,,,Hong Kong,  5
May-20,O,Cairns,,,Port Moresby,  8
May-20,O,Melbourne,,,Abu Dhabi,  7
May-20,O,Melbourne,,,Auckland,  9
May-20,O,Melbourne,,,Auckland,  2
May-20,O,Melbourne,,,Bandar Seri Begawan,  9
May-20,O,Melbourne,,,Bangkok,  1
May-20,O,Melbourne,,,Colombo,  6
May-20,O,Melbourne,,,Doha,  30
May-20,O,Melbourne,,,Dubai,  5
May-20,O,Melbourne,,,Hong Kong,  9
May-20,O,Melbourne,,,Jakarta,  6
May-20,O,Melbourne,,,Kuala Lumpur,  2
May-20,O,Melbourne,,,London,  8
May-20,O,Melbourne,,,Los Angeles,  3
May-20,O,Melbourne,,,Manila,  1
May-20,O,Melbourne,,,New Delhi,  4
May-20,O,Melbourne,,,Taipei,  3
May-20,O,Perth,,,Denpasar,  5
May-20,O,Perth,,,Denpasar,  2
May-20,O,Perth,,,Doha,  16
May-20,O,Perth,,,Kuala Lumpur,  1
May-20,O,Perth,,,London,  8
May-20,O,Perth,,,Singapore,  14
May-20,O,Sydney,,,Abu Dhabi,  1
May-20,O,Sydney,,,Auckland,  13
May-20,O,Sydney,,,Bangkok,  1
May-20,O,Sydney,,,Doha,  31
May-20,O,Sydney,,,Dubai,  4
May-20,O,Sydney,,,Guangzhou,  5
May-20,O,Sydney,,,Ho Chi Minh City,  10
May-20,O,Sydney,,,Hong Kong,  11
May-20,O,Sydney,,,Jakarta,  4
May-20,O,Sydney,,,Kuala Lumpur,  1
May-20,O,Sydney,,,Manila,  1
May-20,O,Sydney,,,Nadi,  6
May-20,O,Sydney,,,New Delhi,  3
May-20,O,Sydney,,,Noumea,  1
May-20,O,Sydney,,,Port Moresby,  2
May-20,O,Sydney,,,San Francisco,  31
May-20,O,Sydney,,,Seoul,  4
May-20,O,Sydney,,,Seoul,  4
May-20,O,Sydney,,,Shanghai,  4
May-20,O,Sydney,,,Singapore,  13
May-20,O,Sydney,,,Taipei,  3
May-20,O,Sydney,,,Tokyo,  13
May-20,O,Sydney,,,Xiamen,  5
Jun-20,I,Adelaide,,,Singapore,  8
Jun-20,I,Brisbane,,,Auckland,  13
Jun-20,I,Brisbane,,,Bangkok,  1
Jun-20,I,Brisbane,,,Doha,  13
Jun-20,I,Brisbane,,,Dubai,  2
Jun-20,I,Brisbane,,,Honiara,  1
Jun-20,I,Brisbane,,,Honiara,  1
Jun-20,I,Brisbane,,,Los Angeles,  2
Jun-20,I,Brisbane,,,Nauru,  1
Jun-20,I,Brisbane,,,Port Moresby,  19
Jun-20,I,Brisbane,,,Singapore,  7
Jun-20,I,Brisbane,,,Taipei,  3
Jun-20,I,Brisbane,,,Taipei,  1
Jun-20,I,Cairns,,,Port Moresby,  5
Jun-20,I,Melbourne,,,Abu Dhabi,  11
Jun-20,I,Melbourne,,,Auckland,  13
Jun-20,I,Melbourne,,,Bandar Seri Begawan,  7
Jun-20,I,Melbourne,,,Bangkok,  1
Jun-20,I,Melbourne,,,Colombo,  4
Jun-20,I,Melbourne,,,Doha,  30
Jun-20,I,Melbourne,,,Dubai,  13
Jun-20,I,Melbourne,,,Hong Kong,  8
Jun-20,I,Melbourne,,,Jakarta,  4
Jun-20,I,Melbourne,,,Kuala Lumpur,  1
Jun-20,I,Melbourne,,,London,  2
Jun-20,I,Melbourne,,,Los Angeles,  1
Jun-20,I,Melbourne,,,New Delhi,  4
Jun-20,I,Melbourne,,,Santiago,  1
Jun-20,I,Melbourne,,,Singapore,  39
Jun-20,I,Melbourne,,,Taipei,  2
Jun-20,I,Perth,,,Bangkok,  1
Jun-20,I,Perth,,,Doha,  17
Jun-20,I,Perth,,,Dubai,  2
Jun-20,I,Perth,,,Jakarta,  4
Jun-20,I,Perth,,,London,  2
Jun-20,I,Perth,,,Mauritius,  1
Jun-20,I,Perth,,,Singapore,  12
Jun-20,I,Sydney,,,Abu Dhabi,  8
Jun-20,I,Sydney,,,Auckland,  17
Jun-20,I,Sydney,,,Doha,  30
Jun-20,I,Sydney,,,Dubai,  14
Jun-20,I,Sydney,,,Guangzhou,  4
Jun-20,I,Sydney,,,Ho Chi Minh City,  1
Jun-20,I,Sydney,,,Hong Kong,  16
Jun-20,I,Sydney,,,Jakarta,  4
Jun-20,I,Sydney,,,Manila,  2
Jun-20,I,Sydney,,,Nadi,  1
Jun-20,I,Sydney,,,New Delhi,  4
Jun-20,I,Sydney,,,Noumea,  4
Jun-20,I,Sydney,,,Port Moresby,  1
Jun-20,I,Sydney,,,San Francisco,  30
Jun-20,I,Sydney,,,Santiago,  1
Jun-20,I,Sydney,,,Seoul,  5
Jun-20,I,Sydney,,,Shanghai,  5
Jun-20,I,Sydney,,,Singapore,  13
Jun-20,I,Sydney,,,Singapore,  7
Jun-20,I,Sydney,,,Taipei,  3
Jun-20,I,Sydney,,,Tokyo,  12
Jun-20,I,Sydney,,,Xiamen,  16
Jun-20,O,Adelaide,,,Singapore,  7
Jun-20,O,Brisbane,,,Auckland,  13
Jun-20,O,Brisbane,,,Bangkok,  1
Jun-20,O,Brisbane,,,Doha,  13
Jun-20,O,Brisbane,,,Dubai,  2
Jun-20,O,Brisbane,,,Honiara,  1
Jun-20,O,Brisbane,,,Los Angeles,  1
Jun-20,O,Brisbane,,,Nauru,  2
Jun-20,O,Brisbane,,,Port Moresby,  19
Jun-20,O,Brisbane,,,Singapore,  7
Jun-20,O,Brisbane,,,Taipei,  3
Jun-20,O,Brisbane,,,Taipei,  1
Jun-20,O,Cairns,,,Port Moresby,  5
Jun-20,O,Melbourne,,,Abu Dhabi,  12
Jun-20,O,Melbourne,,,Auckland,  13
Jun-20,O,Melbourne,,,Bandar Seri Begawan,  8
Jun-20,O,Melbourne,,,Bangkok,  1
Jun-20,O,Melbourne,,,Colombo,  4
Jun-20,O,Melbourne,,,Doha,  30
Jun-20,O,Melbourne,,,Dubai,  12
Jun-20,O,Melbourne,,,Hong Kong,  8
Jun-20,O,Melbourne,,,Jakarta,  4
Jun-20,O,Melbourne,,,Kuala Lumpur,  1
Jun-20,O,Melbourne,,,London,  1
Jun-20,O,Melbourne,,,Los Angeles,  1
Jun-20,O,Melbourne,,,New Delhi,  4
Jun-20,O,Melbourne,,,Santiago,  1
Jun-20,O,Melbourne,,,Singapore,  30
Jun-20,O,Melbourne,,,Taipei,  2
Jun-20,O,Perth,,,Bangkok,  1
Jun-20,O,Perth,,,Doha,  17
Jun-20,O,Perth,,,Dubai,  2
Jun-20,O,Perth,,,Jakarta,  4
Jun-20,O,Perth,,,London,  1
Jun-20,O,Perth,,,Mauritius,  1
Jun-20,O,Perth,,,Singapore,  13
Jun-20,O,Sydney,,,Abu Dhabi,  7
Jun-20,O,Sydney,,,Auckland,  18
Jun-20,O,Sydney,,,Bangkok,  2
Jun-20,O,Sydney,,,Doha,  30
Jun-20,O,Sydney,,,Dubai,  2
Jun-20,O,Sydney,,,Dubai,  14
Jun-20,O,Sydney,,,Guangzhou,  4
Jun-20,O,Sydney,,,Ho Chi Minh City,  1
Jun-20,O,Sydney,,,Hong Kong,  16
Jun-20,O,Sydney,,,Jakarta,  4
Jun-20,O,Sydney,,,Kuala Lumpur,  1
Jun-20,O,Sydney,,,Manila,  2
Jun-20,O,Sydney,,,New Delhi,  4
Jun-20,O,Sydney,,,Noumea,  4
Jun-20,O,Sydney,,,San Francisco,  30
Jun-20,O,Sydney,,,Santiago,  1
Jun-20,O,Sydney,,,Seoul,  5
Jun-20,O,Sydney,,,Seoul,  3
Jun-20,O,Sydney,,,Shanghai,  5
Jun-20,O,Sydney,,,Singapore,  7
Jun-20,O,Sydney,,,Singapore,  14
Jun-20,O,Sydney,,,Taipei,  3
Jun-20,O,Sydney,,,Tokyo,  13
Jun-20,O,Sydney,,,Xiamen,  16
Jul-20,I,Adelaide,,,Kuala Lumpur,  2
Jul-20,I,Adelaide,,,Singapore,  7
Jul-20,I,Brisbane,,,Auckland,  20
Jul-20,I,Brisbane,,,Doha,  13
Jul-20,I,Brisbane,,,Dubai,  5
Jul-20,I,Brisbane,,,Honiara,  5
Jul-20,I,Brisbane,,,Kuala Lumpur,  1
Jul-20,I,Brisbane,,,Nauru,  2
Jul-20,I,Brisbane,,,Port Moresby,  23
Jul-20,I,Brisbane,,,Singapore,  9
Jul-20,I,Brisbane,,,Taipei,  2
Jul-20,I,Brisbane,,,Taipei,  2
Jul-20,I,Cairns,,,Port Moresby,  4
Jul-20,I,Melbourne,,,Bandar Seri Begawan,  7
Jul-20,I,Perth,,,Doha,  17
Jul-20,I,Perth,,,Dubai,  5
Jul-20,I,Perth,,,Jakarta,  3
Jul-20,I,Perth,,,Kuala Lumpur,  5
Jul-20,I,Perth,,,Singapore,  13
Jul-20,I,Sydney,,,Abu Dhabi,  14
Jul-20,I,Sydney,,,Auckland,  40
Jul-20,I,Sydney,,,Doha,  31
Jul-20,I,Sydney,,,Dubai,  14
Jul-20,I,Sydney,,,Guangzhou,  6
Jul-20,I,Sydney,,,Hangzhou,  1
Jul-20,I,Sydney,,,Ho Chi Minh City,  9
Jul-20,I,Sydney,,,Hong Kong,  20
Jul-20,I,Sydney,,,Jakarta,  5
Jul-20,I,Sydney,,,Kuala Lumpur,  5
Jul-20,I,Sydney,,,Los Angeles,  13
Jul-20,I,Sydney,,,Los Angeles,  1
Jul-20,I,Sydney,,,Manila,  1
Jul-20,I,Sydney,,,New Delhi,  4
Jul-20,I,Sydney,,,Noumea,  5
Jul-20,I,Sydney,,,San Francisco,  31
Jul-20,I,Sydney,,,Seoul,  2
Jul-20,I,Sydney,,,Seoul,  1
Jul-20,I,Sydney,,,Shanghai,  5
Jul-20,I,Sydney,,,Singapore,  13
Jul-20,I,Sydney,,,Singapore,  9
Jul-20,I,Sydney,,,Taipei,  2
Jul-20,I,Sydney,,,Tokyo,  14
Jul-20,I,Sydney,,,Xiamen,  16
Jul-20,O,Adelaide,,,Kuala Lumpur,  2
Jul-20,O,Adelaide,,,Singapore,  8
Jul-20,O,Brisbane,,,Auckland,  19
Jul-20,O,Brisbane,,,Doha,  13
Jul-20,O,Brisbane,,,Dubai,  5
Jul-20,O,Brisbane,,,Honiara,  3
Jul-20,O,Brisbane,,,Kuala Lumpur,  1
Jul-20,O,Brisbane,,,Nauru,  2
Jul-20,O,Brisbane,,,Port Moresby,  23
Jul-20,O,Brisbane,,,Singapore,  9
Jul-20,O,Brisbane,,,Taipei,  2
Jul-20,O,Brisbane,,,Taipei,  2
Jul-20,O,Cairns,,,Port Moresby,  4
Jul-20,O,Melbourne,,,Abu Dhabi,  16
Jul-20,O,Melbourne,,,Auckland,  16
Jul-20,O,Melbourne,,,Bandar Seri Begawan,  8
Jul-20,O,Melbourne,,,Colombo,  9
Jul-20,O,Melbourne,,,Doha,  30
Jul-20,O,Melbourne,,,Dubai,  14
Jul-20,O,Melbourne,,,Hong Kong,  14
Jul-20,O,Melbourne,,,Jakarta,  5
Jul-20,O,Melbourne,,,Kuala Lumpur,  4
Jul-20,O,Melbourne,,,New Delhi,  4
Jul-20,O,Melbourne,,,Singapore,  30
Jul-20,O,Melbourne,,,Taipei,  4
Jul-20,O,Perth,,,Doha,  17
Jul-20,O,Perth,,,Dubai,  5
Jul-20,O,Perth,,,Jakarta,  3
Jul-20,O,Perth,,,Kuala Lumpur,  5
Jul-20,O,Perth,,,Singapore,  13
Jul-20,O,Sydney,,,Abu Dhabi,  14
Jul-20,O,Sydney,,,Auckland,  40
Jul-20,O,Sydney,,,Bangkok,  1
Jul-20,O,Sydney,,,Doha,  31
Jul-20,O,Sydney,,,Dubai,  1
Jul-20,O,Sydney,,,Dubai,  13
Jul-20,O,Sydney,,,Guangzhou,  6
Jul-20,O,Sydney,,,Hangzhou,  2
Jul-20,O,Sydney,,,Ho Chi Minh City,  10
Jul-20,O,Sydney,,,Hong Kong,  20
Jul-20,O,Sydney,,,Jakarta,  5
Jul-20,O,Sydney,,,Kuala Lumpur,  5
Jul-20,O,Sydney,,,Los Angeles,  12
Jul-20,O,Sydney,,,Manila,  1
Jul-20,O,Sydney,,,New Delhi,  4
Jul-20,O,Sydney,,,Noumea,  5
Jul-20,O,Sydney,,,San Francisco,  30
Jul-20,O,Sydney,,,Seoul,  4
Jul-20,O,Sydney,,,Seoul,  3
Jul-20,O,Sydney,,,Shanghai,  5
Jul-20,O,Sydney,,,Singapore,  9
Jul-20,O,Sydney,,,Singapore,  13
Jul-20,O,Sydney,,,Taipei,  2
Jul-20,O,Sydney,,,Tokyo,  13
Jul-20,O,Sydney,,,Xiamen,  16
Aug-20,I,Adelaide,,,Doha,  5
Aug-20,I,Adelaide,,,Kuala Lumpur,  1
Aug-20,I,Adelaide,,,Singapore,  9
Aug-20,I,Brisbane,,,Auckland,  22
Aug-20,I,Brisbane,,,Auckland,  6
Aug-20,I,Brisbane,,,Doha,  13
Aug-20,I,Brisbane,,,Dubai,  9
Aug-20,I,Brisbane,,,Honiara,  3
Aug-20,I,Brisbane,,,Kuala Lumpur,  1
Aug-20,I,Brisbane,,,Nauru,  2
Aug-20,I,Brisbane,,,Port Moresby,  20
Aug-20,I,Brisbane,,,Port Vila,  1
Aug-20,I,Brisbane,,,Singapore,  9
Aug-20,I,Brisbane,,,Taipei,  3
Aug-20,I,Cairns,,,Port Moresby,  5
Aug-20,I,Perth,,,Doha,  18
Aug-20,I,Perth,,,Dubai,  9
Aug-20,I,Perth,,,Jakarta,  3
Aug-20,I,Perth,,,Kuala Lumpur,  4
Aug-20,I,Perth,,,Mauritius,  1
Aug-20,I,Perth,,,Singapore,  14
Aug-20,I,Perth,,,Singapore,  13
Aug-20,I,Sydney,,,Abu Dhabi,  19
Aug-20,I,Sydney,,,Auckland,  35
Aug-20,I,Sydney,,,Bangkok,  5
Aug-20,I,Sydney,,,Doha,  31
Aug-20,I,Sydney,,,Dubai,  19
Aug-20,I,Sydney,,,Guangzhou,  9
Aug-20,I,Sydney,,,Hangzhou,  4
Aug-20,I,Sydney,,,Ho Chi Minh City,  3
Aug-20,I,Sydney,,,Hong Kong,  24
Aug-20,I,Sydney,,,Jakarta,  2
Aug-20,I,Sydney,,,Kuala Lumpur,  5
Aug-20,I,Sydney,,,Los Angeles,  14
Aug-20,I,Sydney,,,Manila,  1
Aug-20,I,Sydney,,,New Delhi,  3
Aug-20,I,Sydney,,,Noumea,  4
Aug-20,I,Sydney,,,San Francisco,  30
Aug-20,I,Sydney,,,Seoul,  4
Aug-20,I,Sydney,,,Shanghai,  4
Aug-20,I,Sydney,,,Singapore,  23
Aug-20,I,Sydney,,,Singapore,  9
Aug-20,I,Sydney,,,Taipei,  2
Aug-20,I,Sydney,,,Tokyo,  13
Aug-20,I,Sydney,,,Xiamen,  7
Aug-20,O,Adelaide,,,Denpasar,  1
Aug-20,O,Adelaide,,,Doha,  5
Aug-20,O,Adelaide,,,Kuala Lumpur,  1
Aug-20,O,Adelaide,,,Kuala Lumpur,  1
Aug-20,O,Adelaide,,,Singapore,  8
Aug-20,O,Brisbane,,,Auckland,  23
Aug-20,O,Brisbane,,,Auckland,  6
Aug-20,O,Brisbane,,,Doha,  13
Aug-20,O,Brisbane,,,Dubai,  9
Aug-20,O,Brisbane,,,Kuala Lumpur,  1
Aug-20,O,Brisbane,,,Nauru,  2
Aug-20,O,Brisbane,,,Port Moresby,  20
Aug-20,O,Brisbane,,,Singapore,  9
Aug-20,O,Brisbane,,,Taipei,  3
Aug-20,O,Brisbane,,,Taipei,  1
Aug-20,O,Cairns,,,Port Moresby,  5
Aug-20,O,Melbourne,,,Abu Dhabi,  14
Aug-20,O,Melbourne,,,Auckland,  19
Aug-20,O,Melbourne,,,Bandar Seri Begawan,  6
Aug-20,O,Melbourne,,,Bangkok,  1
Aug-20,O,Melbourne,,,Colombo,  9
Aug-20,O,Melbourne,,,Doha,  31
Aug-20,O,Melbourne,,,Dubai,  13
Aug-20,O,Melbourne,,,Ho Chi Minh City,  3
Aug-20,O,Melbourne,,,Hong Kong,  17
Aug-20,O,Melbourne,,,Jakarta,  2
Aug-20,O,Melbourne,,,Kuala Lumpur,  5
Aug-20,O,Melbourne,,,New Delhi,  3
Aug-20,O,Melbourne,,,Singapore,  28
Aug-20,O,Melbourne,,,Taipei,  2
Aug-20,O,Perth,,,Doha,  18
Aug-20,O,Perth,,,Dubai,  9
Aug-20,O,Perth,,,Jakarta,  3
Aug-20,O,Perth,,,Kuala Lumpur,  4
Aug-20,O,Perth,,,Kuala Lumpur,  1
Aug-20,O,Perth,,,Mauritius,  1
Aug-20,O,Perth,,,Singapore,  14
Aug-20,O,Perth,,,Singapore,  13
Aug-20,O,Sydney,,,Abu Dhabi,  18
Aug-20,O,Sydney,,,Auckland,  35
Aug-20,O,Sydney,,,Bangkok,  1
Aug-20,O,Sydney,,,Bangkok,  5
Aug-20,O,Sydney,,,Denpasar,  1
Aug-20,O,Sydney,,,Doha,  31
Aug-20,O,Sydney,,,Dubai,  1
Aug-20,O,Sydney,,,Dubai,  19
Aug-20,O,Sydney,,,Guangzhou,  9
Aug-20,O,Sydney,,,Hangzhou,  4
Aug-20,O,Sydney,,,Ho Chi Minh City,  3
Aug-20,O,Sydney,,,Hong Kong,  23
Aug-20,O,Sydney,,,Jakarta,  2
Aug-20,O,Sydney,,,Kuala Lumpur,  5
Aug-20,O,Sydney,,,Kuala Lumpur,  1
Aug-20,O,Sydney,,,Los Angeles,  15
Aug-20,O,Sydney,,,Manila,  1
Aug-20,O,Sydney,,,New Delhi,  3
Aug-20,O,Sydney,,,Noumea,  4
Aug-20,O,Sydney,,,San Francisco,  30
Aug-20,O,Sydney,,,Seoul,  5
Aug-20,O,Sydney,,,Seoul,  1
Aug-20,O,Sydney,,,Shanghai,  4
Aug-20,O,Sydney,,,Singapore,  9
Aug-20,O,Sydney,,,Singapore,  23
Aug-20,O,Sydney,,,Taipei,  2
Aug-20,O,Sydney,,,Tokyo,  14
Aug-20,O,Sydney,,,Xiamen,  7
Sep-20,I,Adelaide,,,Doha,  8
Sep-20,I,Adelaide,,,Kuala Lumpur,  1
Sep-20,I,Adelaide,,,Singapore,  9
Sep-20,I,Brisbane,,,Auckland,  18
Sep-20,I,Brisbane,,,Doha,  13
Sep-20,I,Brisbane,,,Dubai,  8
Sep-20,I,Brisbane,,,Honiara,  2
Sep-20,I,Brisbane,,,Kuala Lumpur,  1
Sep-20,I,Brisbane,,,Nauru,  2
Sep-20,I,Brisbane,,,Port Moresby,  22
Sep-20,I,Brisbane,,,Port Vila,  3
Sep-20,I,Brisbane,,,Singapore,  8
